nazwa,lat,lng
Muzeum Narodowe we Wrocławiu,51.1107,17.0475
Panorama Racławicka,51.1103,17.0446
Muzeum Architektury we Wrocławiu,51.1089,17.0442
Muzeum Poczty i Telekomunikacji,51.1009,17.0403
Muzeum Miejskie Wrocławia (Stary Ratusz),51.1090,17.0319
Pałac Królewski (Muzeum Historyczne),51.1072,17.0285
Muzeum Współczesne Wrocław,51.1146,17.0005
Muzeum Etnograficzne,51.0967,17.0482
Muzeum Archidiecezjalne,51.1135,17.0460
Muzeum Uniwersytetu Wrocławskiego,51.1141,17.0342
Muzeum Przyrodnicze Uniwersytetu Wrocławskiego,51.1148,17.0535
Muzeum Mineralogiczne UWr,51.1185,17.0332
Muzeum Geologiczne UWr,51.1185,17.0332
Muzeum Farmacji,51.1102,17.0324
Muzeum Pana Tadeusza,51.1093,17.0327
Centrum Historii Zajezdnia,51.1100,16.9936
Muzeum Motoryzacji Topacz,51.0203,17.0400
